Formula:  y ~ Age + Sex + HIV.Status + (1 | PIN) + (1 | ID) 
 
"","pval_Age","pval_Sex","pval_HIV.Status","adjp_Age","adjp_Sex","adjp_HIV.Status","coeff_Age","coeff_Sexmale","coeff_HIV.StatusHUU"
"CD56hiCD16-/NKG2C+ (Total NK)/CD57+",0.67649100446971,0.988226691767839,0.213881378687778,0.77571011623654,0.999968591939375,0.999993719894091,0.270596266597981,-0.156701271546674,-0.946499034647555
"CD56hiCD16+",0.994940575698135,0.999356440185927,0.96107227389609,0.999999999917637,0.999968591939375,0.999993719894091,-0.0149936811657588,-0.0227981593293127,-0.0923920298030984
"CD56hiCD16+/CD107a-",0.322076196665773,0.848667002527464,0.926936408155806,0.431063286690906,0.999968591939375,0.999993719894091,-0.168775338131631,-0.172744237832823,0.118644380220202
"CD56hiCD16+/CD107a+",0.336235893469398,0.842594707907697,0.827419076952774,0.438125558157095,0.999968591939375,0.999993719894091,0.170602051760348,0.186652836561564,-0.17776730048586
"CD56hiCD16+/CD57-",0.000459421206999933,0.742253714267564,0.918668234700886,0.00141107942149979,0.999968591939375,0.999993719894091,-0.363446044213836,-0.223360640257566,-0.144212663045898
"CD56hiCD16+/CD57+",0.00121025936941488,0.683440541685984,0.997763122491405,0.00335749373450579,0.999968591939375,0.999993719894091,0.334865725861913,0.251734766036204,0.0416782385956304
"CD56hiCD16+/NKG2C- (Total NK)",0.748275557114593,0.105450995303017,0.858468589210224,0.84673286726125,0.431846933145689,0.999993719894091,-0.114319026199012,-0.85592149994933,-0.289818969212992
"CD56hiCD16+/NKG2C- (Total NK)/CD107a-",0.167364102777685,0.85792358556004,0.635502787639227,0.239888547314682,0.999968591939375,0.999993719894091,-0.216974841876651,-0.167067237289271,0.226847032549676
"CD56hiCD16+/NKG2C- (Total NK)/CD107a+",0.214721243567599,0.877346039211141,0.586674362537675,0.297839144303444,0.999968591939375,0.999993719894091,0.215977170723008,0.170415085582767,-0.264169725307884
"CD56hiCD16+/NKG2C- (Total NK)/CD57-",0.000915000641737995,0.627784398794545,0.858451170660946,0.00262300183964892,0.999968591939375,0.999993719894091,-0.342422575159455,-0.287003205974143,-0.191978538346061
"CD56hiCD16+/NKG2C- (Total NK)/CD57+",0.000898076212558552,0.647601421488585,0.871026566823646,0.00262300183964892,0.999968591939375,0.999993719894091,0.343181609137361,0.279296428189242,0.184960704729291
"CD56hiCD16+/NKG2C+ (Total NK)",0.514067308862007,0.205377720398194,0.940180794443336,0.605613541947022,0.802840179738396,0.999993719894091,0.159104613252687,0.759684391496392,0.21852181491756
"CD56intCD16+",0.205281825064542,0.698086191811849,0.945202814172294,0.289413720582796,0.999968591939375,0.999993719894091,-0.0781230400153529,-0.131534154444321,0.0665837754768851
"CD56intCD16+/CD107a-",0.144523731373668,0.00128832824354541,0.329471913412602,0.218053349090095,0.0246031594728564,0.999993719894091,-0.206466692533423,-0.851846895426977,-0.351573524549164
"CD56intCD16+/CD107a+",0.150445127294085,0.00131009626646994,0.329047766042671,0.219292897411717,0.0246031594728564,0.999993719894091,0.204903588022835,0.852197802483114,0.35239162656533
"CD56intCD16+/CD57-",1.88966620129349e-11,0.569170343659721,0.879708268903002,1.16079495222315e-10,0.999968591939375,0.999993719894091,-0.32734339085796,0.17997413947401,-0.102272434897911
"CD56intCD16+/CD57+",1.71738179233216e-11,0.572314894811584,0.774456194113241,1.16079495222315e-10,0.999968591939375,0.999993719894091,0.324512009327439,-0.181257937888097,0.133544379244443
"CD56intCD16+/NKG2C- (Total NK)",0.000393462867061545,0.78635110559196,0.999832590273268,0.00135351226269171,0.999968591939375,0.999993719894091,-0.447625103016405,-0.349185098630059,-0.0286640695591614
"CD56intCD16+/NKG2C- (Total NK)/CD107a-",0.0296416699601529,0.00697323918888659,0.96794823924646,0.0557991076183077,0.0479371328681106,0.999993719894091,-0.221193166579538,-0.763836924984574,-0.0991939266235995
"CD56intCD16+/NKG2C- (Total NK)/CD107a+",0.030334955936413,0.00706490169885887,0.967145550507577,0.0557991076183077,0.0479371328681106,0.999993719894091,0.220679461526335,0.763049360945037,0.100111990932705
"CD56intCD16+/NKG2C- (Total NK)/CD57-",7.105427357601e-15,0.667642004090891,0.357206975417352,7.63833440942108e-14,0.999968591939375,0.999993719894091,-0.336337889253159,0.177858649784895,-0.257882054692839
"CD56intCD16+/NKG2C- (Total NK)/CD57+",5.77315972805081e-15,0.664418562218111,0.354687608785478,7.09273909446243e-14,0.999968591939375,0.999993719894091,0.335346172674963,-0.178513006768859,0.258388630696638
"CD56intCD16+/NKG2C+ (Total NK)",0.000275453707395013,0.795357494682381,0.999993719894091,0.000987042451498795,0.999968591939375,0.999993719894091,0.451349176330455,0.343639197427365,0.00961000180981567
"CD56intCD16+/NKG2C+ (Total NK)/CD107a-",0.845116455745982,0.00720293820902529,0.871687481750524,0.924133507651138,0.0479371328681106,0.999993719894091,-0.107295156673753,-1.01794312821709,-0.231591123618499
